0,1,2,3,4,5,6,7,8,9
7154,125171000050,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:52 GMT+0700 (Western Indonesia Time),1,Prangkat Keras Implemnts SIM Term Petikemas BICT,2228
7155,125191000061,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:52 GMT+0700 (Western Indonesia Time),1,Pembangunan Pagar Pembatas Area TCC Pelabuhan Pjg,2303
7156,125191000063,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:52 GMT+0700 (Western Indonesia Time),1,Perbaikan Pagar Pembatas Keliling Area Pelabuhan,2303
7157,125191000007,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:52 GMT+0700 (Western Indonesia Time),1,Pmbngn Pdstrian dan Rhablitsi Sal Thp 2,1021
7158,125171000045,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:52 GMT+0700 (Western Indonesia Time),1,Pngdaan Perangkat Keras Backup/Secondary,1071
7159,125161000615,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:52 GMT+0700 (Western Indonesia Time),1,Pembangunan Gedung Kantor Pel Waingapu,1143
7160,125191000026,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:52 GMT+0700 (Western Indonesia Time),1,Pagar Lapangan Penumpukan Kalibaru Timur,1061
7161,125171000020,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:52 GMT+0700 (Western Indonesia Time),1,Pengadaan CCTV,1151
7162,125171000025,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:52 GMT+0700 (Western Indonesia Time),1,Penambahan Infrastruktur Data Centre,1071
7199,125161000594,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:53 GMT+0700 (Western Indonesia Time),1,Pekerjaan Renovasi Toilet & Pembangunan Drainase,2303
7200,125161000595,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:53 GMT+0700 (Western Indonesia Time),1,"Perbaikan Berat Kntr Pelayanan Kapal, Ops & Cabang",2309
7201,125191000030,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:53 GMT+0700 (Western Indonesia Time),1,PEK PENATAAN AREA PARKIR TP PEL BIMA,1121
7202,125171000057,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:53 GMT+0700 (Western Indonesia Time),1,Pengadaan Lisensi Autocad,1011
7203,125171000118,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:53 GMT+0700 (Western Indonesia Time),1,Infrastruktur IT Operasional SKA PBM TGN,2301
7204,125171000119,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:53 GMT+0700 (Western Indonesia Time),1,Pengadaan Clstrs Srvr Aplks & TOS,1071
7205,125161000596,6,2024,[object Object],[object Object],Fri Aug 23 2024 13:43:53 GMT+0700 (Western Indonesia Time),1,"Pngws Perbaikan Berat Kntr Pel Kapal, Ops & Cabang",2309
