0,1,2,3,4,5,6,7,8,9,10,11,12
14,0202.23.011.4.00001-3/00,Motor Vehicle (MV) new,Thu Feb 02 2023 00:00:00 GMT+0700 (Western Indonesia Time),472064843,31 Desember 2022 - 31 Desember 2023,65,storage/dokumen_polis/MV__ORIGINAL20231127101901.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:19:01 GMT+0700 (Western Indonesia Time),FRINS APUL SIMARMATA,Wed Mar 26 2025 11:19:46 GMT+0700 (Western Indonesia Time)
47,0701.23.001.4.00001-8/00,TESTING CLOUD,Wed Aug 14 2024 00:00:00 GMT+0700 (Western Indonesia Time),1405200,31 Agustus 2024 - 31 Agustus 2024,51,storage/dokumen_polis/WhatsApp Image 2024-08-14 at 10.16.1920240814113113.jpeg,1,JAI HEAD OFFICE,Wed Aug 14 2024 10:31:13 GMT+0700 (Western Indonesia Time),,
7,0401.23.001.4.00001-8/00,Marine Hull (MH) extended to include Collision and Tower's Liability,Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),110400000,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/MARINE LIABILITY20231127095406.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:54:07 GMT+0700 (Western Indonesia Time),,
8,0903.23.001.4.00001-8/00,Machinery Breakdown (MB),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),61638622,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/MB_compressed20231127095556.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:55:56 GMT+0700 (Western Indonesia Time),,
9,0404.22.011.4.00001-1/00,Pretection & Indemnity (P&I),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),293300,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/PS P_I dan Lampiran20231127095638.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:56:39 GMT+0700 (Western Indonesia Time),,
10,0102.23.001.4.00001-8/00,Eartquake (EQ),Fri Feb 17 2023 00:00:00 GMT+0700 (Western Indonesia Time),434784640,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/PSAGBI_compressed20231127095819.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:58:20 GMT+0700 (Western Indonesia Time),,
11,1006.23.001.4.00001-8/00,Port and Terminnal Operator Liability (PTOL),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),61420000,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/PTOL_compressed20231127100037.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:00:38 GMT+0700 (Western Indonesia Time),,
18,0903.23.011.4.00001-3/00,Machinery Breakdown (MB),Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),9330352,31 Desember 2022 - 31 Desember 2023,65,storage/dokumen_polis/MB_ORIGINAL20231127102241.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:22:41 GMT+0700 (Western Indonesia Time),,
19,1002.23.011.4.00001-3/00,Comprehensive General Liability (CGL),Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),20000000,31 Desember 2022 - 31 Desember 2023,65,storage/dokumen_polis/CGL_ORIGINAL20231127102321.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:23:20 GMT+0700 (Western Indonesia Time),FRINS APUL SIMARMATA,Thu Nov 21 2024 15:38:44 GMT+0700 (Western Indonesia Time)
24,0404.22.011.4.00001-1/00,Pretection & Indemnity (P&I),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),293300,31 Desember 2022 - 31 Desember 2023,65,storage/dokumen_polis/PS P_I dan Lampiran20231127102756.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:27:56 GMT+0700 (Western Indonesia Time),,
