NAMA_CABANG,CRAETED_DATE,UPDATE_DATE,KODE_REGIONAL,KODE_TERMINAL,KODE_SAP,PROFIT_CENTER,FLAG_APPROVE,ID_CABANG
SPJM,Mon Jul 15 2024 09:27:48 GMT+0700 (Western Indonesia Time),,05,0,5100,51000,2,5000
JAI Head Office,Mon Jul 15 2024 09:34:01 GMT+0700 (Western Indonesia Time),,051,0,5101,51001,2,5101
JAI Tanjung Priok,Mon Jul 15 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,2,5102,51002,2,5102
JAI Meulaboh Aceh,Tue Jul 16 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,3,5103,51003,2,5103
JAI Pontianak,Wed Jul 17 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,4,5104,51004,2,5104
JAI Banten,Thu Jul 18 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,5,5105,51005,2,5105
JAI Batam,Fri Jul 19 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,6,5106,51006,2,5106
JAI Panjang,Sat Jul 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,7,5107,51007,2,5107
JAI Bengkulu,Sun Jul 21 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,8,5108,51008,2,5108
JAI Maluku (Weda),Mon Jul 22 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,9,5109,51009,2,5109
JAI Teluk Bayur,Tue Jul 23 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,10,5110,51010,2,5110
JAI Pangkal Balam,Wed Jul 24 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,11,5111,51011,2,5111
JAI Tanjung Pandan,Thu Jul 25 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,12,5112,51012,2,5112
JAI Palembang,Fri Jul 26 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,13,5113,51013,2,5113
JAI Jambi,Sat Jul 27 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,14,5114,51014,2,5114
JAI Cirebon,Sun Jul 28 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,15,5115,51015,2,5115
JAI Riau,Mon Jul 29 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,16,5116,51016,2,5116
JAI FSRU Jawa Barat/ Nusantara,Tue Jul 30 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,17,5117,51017,2,5117
JAI Kanci,Wed Jul 31 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,18,5118,51018,2,5118
JAI Balongan,Thu Aug 01 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,19,5119,51019,2,5119
JAI Cemindo Bayah,Fri Aug 02 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,20,5120,51020,2,5120
JAI Tanjung Jabung,Sat Aug 03 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,21,5121,51021,2,5121
JAI Sungai Musi,Sun Aug 04 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,22,5122,51022,2,5122
JAI FSRU Lampung,Mon Aug 05 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,23,5123,51023,2,5123
JAI Patimban,Tue Aug 06 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,24,5124,51024,2,5124
JAI Kanci II,Wed Aug 07 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,25,5125,51025,2,5125
JAI Jawa Satu Power,Thu Aug 08 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,26,5126,51026,2,5126
JAI Kijang Tanjung Pinang,Fri Aug 09 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,27,5127,51027,2,5127
JAI Nipa,Sat Aug 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,28,5128,51028,2,5128
JAI Laiwui,Sun Aug 11 2024 09:27:48 GMT+0700 (Western Indonesia Time),,051,29,5129,51029,2,5129
SPMT,Mon Jul 15 2024 09:27:48 GMT+0700 (Western Indonesia Time),,04,0,4100,41000,2,4000
PTP HEAD OFFICE,Mon Aug 12 2024 09:27:48 GMT+0700 (Western Indonesia Time),,042,0,4201,42001,2,4201
PTP Tanjung Priok,Tue Aug 13 2024 09:27:48 GMT+0700 (Western Indonesia Time),,042,2,4202,42002,2,4202
PTP Panjang,Wed Aug 14 2024 09:27:48 GMT+0700 (Western Indonesia Time),,042,3,4203,42003,2,4203
PTP Teluk Bayur,Thu Aug 15 2024 09:27:48 GMT+0700 (Western Indonesia Time),,042,4,4204,42004,2,4204
PTP Palembang,Fri Aug 16 2024 09:27:48 GMT+0700 (Western Indonesia Time),,042,5,4205,42005,2,4205
PTP Pontianak,Sat Aug 17 2024 09:27:48 GMT+0700 (Western Indonesia Time),,042,6,4206,42006,2,4206
PTP Cirebon,Sun Aug 18 2024 09:27:48 GMT+0700 (Western Indonesia Time),,042,7,4207,42007,2,4207
PTP Banten,Mon Aug 19 2024 09:27:48 GMT+0700 (Western Indonesia Time),,042,8,4208,42008,2,4208
