NO_ASET,SUB_ASET,NILAI_SUSUT,AKUMULASI_PENYUSUTAN,NILAI_PEROLEHAN,NILAI_BUKU,NILAI_RESIDU,PERIODE,TAHUN,CREATED_BY,CREATED_ON,PENURUNAN_AKUMULASI_NILAI,PEMULIHAN_AKUMULASI_NILAI,AKUMULASI_PENYUSUTAN_NEW,PENYUSUTAN_SD_BLN_BERJALAN
120402000037,0,0,600,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:05 GMT+0700 (Western Indonesia Time),,,,
120402000041,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:05 GMT+0700 (Western Indonesia Time),,,,
120401000061,0,0,12,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:03 GMT+0700 (Western Indonesia Time),,,,
120401000179,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120401000207,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120401000208,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120401000209,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120401000210,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120401000211,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120401000212,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120401000213,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120401000214,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120402000011,0,0,120,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120402000012,0,0,120,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120402000013,0,0,120,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:04 GMT+0700 (Western Indonesia Time),,,,
120501000225,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:06 GMT+0700 (Western Indonesia Time),,,,
120501000236,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:06 GMT+0700 (Western Indonesia Time),,,,
120501000400,0,0,0,8500000,8500000,0,6,2023,1,Tue Sep 19 2023 14:51:07 GMT+0700 (Western Indonesia Time),,,,
120501000419,0,0,0,230799451152,230799451152,0,6,2023,1,Tue Sep 19 2023 14:51:07 GMT+0700 (Western Indonesia Time),,,,
120501000427,0,0,1164,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:07 GMT+0700 (Western Indonesia Time),,,,
120501000594,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:14 GMT+0700 (Western Indonesia Time),,,,
120501000618,0,0,12,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:14 GMT+0700 (Western Indonesia Time),,,,
