NO_ASET,SUB_ASET,STATUS_PENGELOLAAN_RINCIAN,NAMA_PENYEWA,NO_KONTRAK_SEWA,AWAL_PERJANJIAN,AKHIR_PERJANJIAN,CREATED_BY,CREATED_ON,MODIFIED_BY,MODIFIED_ON,PIHAK_YANG_MENEMPATI,TAHUN,PERIODE,USES_TYPE,NO_USES,SCAN,NO_ITEM
120506003985,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),PELINDO,2023,7,O001,1,,1
120506003986,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),PELINDO,2023,7,O001,1,,1
120506003987,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),PELINDO,2023,7,O001,1,,1
120506003989,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),PELINDO,2023,7,O001,1,,1
120501000480,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),Kosong,2023,7,O001,1,,1
120506003995,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),-,2023,7,O001,1,,1
120506003997,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),-,2023,7,O001,1,,1
120506004004,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),-,2023,7,O001,1,,1
120504001724,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),SPMT,2023,7,O003,1,storage/upload/scan_pengelolaan/12132023155709657963d52c18b.pdf,1
120507001972,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),-,2023,7,O001,1,,1
120509000355,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),SPMT,2023,7,O003,1,storage/upload/scan_pengelolaan/12052023154703656ed5779546e.pdf,1
120502001707,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,2023,7,O001,1,storage/upload/scan_pengelolaan/12052023154902656ed5ee0a29b.pdf,1
120509000353,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,2023,7,O001,1,,1
120504001058,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),SPMT,2023,7,O003,1,storage/upload/scan_pengelolaan/12052023162456656ede584cf9c.pdf,1
120502001691,0,,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),,Wed Apr 17 2024 16:02:31 GMT+0700 (Western Indonesia Time),IKT,2023,7,O003,1,,1
