KODE_PUSAT_BIAYA,NAMA_PUSAT_BIAYA,FLAG,CRAETED_DATE,UPDATE_DATE
"2010103471","Team Lead Source to Contract 1","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010103472","Team Lead Source to Contract 2","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010103473","Team Lead Procure to Order","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010103474","Team Lead Procurement Support","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010103500","Group Head Pengadaan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010103511","Group Head Pengadaan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010103521","Department Strategi dan Perencanaan Pengadaan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010103531","Department Penyelenggaraan Pengadaan dan Hubungan dengan Vendor","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010103532","Unit Pendukung Pengadaan Teknik","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010103533","Unit Pendukung Pengadaan Non Teknik","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104000","Direktorat Keuangan dan Manajemen Risiko","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104100","Direktur Keuangan dan Manajemen Risiko","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104111","Direktur Keuangan dan Manajemen Risiko","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104200","Group Head Akuntansi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104211","Group Head Akuntansi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104221","Departement Akuntasi Umum","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104222","Unit Pendukung Akuntansi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104231","Departement Sistem Keuangan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104232","Unit Pendukung Transaksi dan Proses Data","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104241","Departement Aset Tetap","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104300","Group Head Pengelolaan Keuangan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104311","Group Head Pengelolaan Keuangan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104321","Departement Perbendaharaan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104322","Unit Pendukung Manajemen Kas","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104323","Unit Pendukung Pendukung Transaksional","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104331","Departement Keuangan Korporasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104332","Unit Pendukung Strategi Keuangan Korporasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104400","Group Perencanaan dan Performa Keuangan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104411","Group Perencanaan dan Performa Keuangan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
