ID,NAMA_GROUP_KELAS,KODE
"120401","PI - Tanah ","1"
"120402","PI - Bangunan Fasilitas Pelabuhan","2"
"120403","PI - Jalan dan Bangunan",
"120404","PI - Emplasemen",
"120501","AT - Tanah ",
"120502","AT - Bangunan Fasilitas Pelabuhan",
"120503","AT - Kapal",
"120504","AT - Alat-Alat Fasilitas Pelabuhan","8"
"120505","AT - Instalasi Fasilitas Pelabuhan",
"120506","AT - Jalan, Bangunan, Sarana dan Prasarana",
"120507","AT - Peralatan",
"120508","AT - Kendaraan","8"
"120509","AT - Emplasemen",
"120601","ATB - Goodwill",
"120602","ATB - Lisensi",
"120603","ATB - Hak Paten",
"120604","ATB - Pengembangan Piranti Lunak",
"120605","ATB - Aset Konsesi",
"120606","ATB - Aset Tidak Berwujud Lainnya",
"121001","KSO - Tanah ","1"
"121002","KSO - Bangunan Fasilitas Pelabuhan","2"
"121003","KSO - Kapal","5"
"121004","KSO - Alat-Alat Fasilitas Pelabuhan","8"
"121005","KSO - Instalasi Fasilitas Pelabuhan",
"121006","KSO - Jalan, Bangunan, Sarana dan Prasarana",
"121007","KSO - Peralatan",
"121008","KSO - Kendaraan","8"
"121009","KSO - Emplasemen",
"120651","Aset Konsesi - Tanah","1"
"120652","Aset Konsesi - Bangunan Fasilitas","2"
"120653","Aset Konsesi - Kapal","5"
"120654","Aset Konsesi - Alat Fasilitas","8"
"120655","Aset Konsesi - Instalasi Fasilitas",
"120656","Aset Konsesi - Jalan dan bangunan",
"120657","Aset Konsesi - Peralatan",
"120658","Aset Konsesi - Kendaraan","8"
"120659","Aset Konsesi - Emplasemen",
