ID_CABANG,NAMA_CABANG,CRAETED_DATE,UPDATE_DATE,KODE_REGIONAL,KODE_TERMINAL,KODE_SAP,PROFIT_CENTER,FLAG_APPROVE
214,KAWASAN TERMINAL KIJING ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,213,23060,20314,1
218,KAWASAN MUARA SABAK,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,217,23110,20318,1
302,PROPERTY TANJUNG PERAK,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,66,2,10210,12202,1
7202,PMLI ACC,Sat Sep 07 2024 09:27:48 GMT+0700 (Western Indonesia Time),,072,2,72010,72002,2
454,MAKASSAR NEW PORT,Wed Jul 17 2024 17:18:01 GMT+0700 (Western Indonesia Time),,67,30,25020,20527,1
3001,KANTOR PUSAT PT SPTP,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,0,3001,30101,2
3301,KANTOR PUSAT PT TTL,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,0,3301,33001,2
5502,EPI Tanjung Priok,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,055,2,55010,55002,2
6221,MTI Area Freight Frwardg,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,21,62020,62021,2
6251,MTI Area BO,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,51,62030,62051,2
6281,MTI Area BO,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,81,62040,62081,2
