NO_ASET,SUB_ASET,NO_ITEM,RINCIAN,NO_POLIS,TGL_POLIS,PREMI,KETERANGAN_ASURANSI,ALASAN_ASURANSI,CREATED_BY,CREATED_ON,MODIFIED_BY,MODIFIED_ON,STATUS,PERIODE,TAHUN,NO_ASURANSI,SCAN
120508000503,0,1,,0202.22.002.4.00001-1/00,Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),971707740,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/upload/scan_asuransi/11092023100339654c4c0b4b877.pdf
120401000202,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,-,,,,,1,6,2023,1,
120501000399,0,1,,0102.22.002.4.00001-1/00,Thu Feb 02 2023 00:00:00 GMT+0700 (Western Indonesia Time),249797639,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/upload/scan_asuransi/11092023160058654c9fca441b4.pdf
120502002232,0,1,,0906.22.002.4.00001-1/00,Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),6123859975,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/upload/scan_asuransi/11102023101824654da100a37ae.pdf
120508000347,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,,,,,,1,6,2023,1,
120504001215,0,1,,0701.22.002.4.00001-1/00,Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),10046990267,1 TAHUN,,,,,,1,6,2023,1,storage/upload/scan_asuransi/11112023212356654f8e7c4f1c1.pdf
120504001214,0,1,,0701.22.002.4.00001-1/00,Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),10046990267,1 TAHUN,,,,,,1,6,2023,1,storage/upload/scan_asuransi/11112023212611654f8f0329a47.pdf
120504001212,0,1,,0701.22.002.4.00001-1/00,Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),10046990267,1 TAHUN,,,,,,1,6,2023,1,storage/upload/scan_asuransi/11112023231730654fa91a95ad6.pdf
120504001211,0,1,,0701.22.002.4.00001-1/00,Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),10046990267,1 TAHUN,,,,,,1,6,2023,1,storage/upload/scan_asuransi/11112023232459654faadb5bd07.pdf
120504001210,0,1,,0701.22.002.4.00001-1/00,Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),10046990267,1 TAHUN,,,,,,1,6,2023,1,storage/upload/scan_asuransi/11112023232745654fab817e2ef.pdf
