NO_ASET,SUB_ASET,NO_ITEM,NJOP,NO_PBB,TGL_PBB,CREATED_BY,CREATED_ON,MODIFIED_BY,MODIFIED_ON,PERIODE,TAHUN,KETERANGAN_PBB
120507000923,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,123,Tue Oct 24 2023 11:21:29 GMT+0700 (Western Indonesia Time),6,2023,
120507000920,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,123,Mon Oct 23 2023 10:31:58 GMT+0700 (Western Indonesia Time),6,2023,
120507000922,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,123,Mon Oct 23 2023 10:32:30 GMT+0700 (Western Indonesia Time),6,2023,
120508000096,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,133,Mon Dec 04 2023 11:09:07 GMT+0700 (Western Indonesia Time),6,2023,
120506004827,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,140,Wed Dec 06 2023 17:38:54 GMT+0700 (Western Indonesia Time),6,2023,
120504002551,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,181,Sat Dec 09 2023 10:35:35 GMT+0700 (Western Indonesia Time),6,2023,
120504002024,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,119,Wed Nov 22 2023 08:03:48 GMT+0700 (Western Indonesia Time),6,2023,
120401000150,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,166,Wed Nov 08 2023 15:53:12 GMT+0700 (Western Indonesia Time),6,2023,
120506000577,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,128,Wed Nov 15 2023 11:09:54 GMT+0700 (Western Indonesia Time),6,2023,
120501000113,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,166,Fri Sep 22 2023 14:26:13 GMT+0700 (Western Indonesia Time),6,2023,
120506000578,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,128,Wed Nov 15 2023 11:26:50 GMT+0700 (Western Indonesia Time),6,2023,
120502001179,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,128,Sun Nov 05 2023 08:09:13 GMT+0700 (Western Indonesia Time),6,2023,
120508000681,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,222,Wed Dec 20 2023 15:15:55 GMT+0700 (Western Indonesia Time),6,2023,
120502001165,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,128,Sun Nov 05 2023 08:03:43 GMT+0700 (Western Indonesia Time),6,2023,
120502001180,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,128,Wed Nov 15 2023 13:35:53 GMT+0700 (Western Indonesia Time),6,2023,
120502001181,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,128,Wed Nov 15 2023 13:36:12 GMT+0700 (Western Indonesia Time),6,2023,
120502004661,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,128,Wed Nov 15 2023 13:36:29 GMT+0700 (Western Indonesia Time),6,2023,
